Unnamed: 0,B2_3-2_Spleen_S12,B2_3-1_Spleen_S6,B2_3-5_Spleen_S24,B2_1-6_Spleen_S17,B2_1-3_Spleen_S42,B2_2-6_Spleen_S43,B2_2-4_Spleen_S34,B2_1-4_Spleen_S5,B2_2-2_Spleen_S23,B2_3-3_Spleen_S18,B2_1-5_Spleen_S11
ENSMUST00000155059.3,1.155,0.0,0.0,0.0,2.531,0.0,0.0,0.0,0.0,0.0,1.25
ENSMUST00000094288.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000131633.2,14.334,0.0,21.791,23.793,19.654,4.186,7.408,16.16,29.513,3.038,8.609
ENSMUST00000245127.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000162280.2,32.26,34.0,73.0,51.716,71.276,20.0,48.0,24.0,31.928,0.0,30.0
ENSMUST00000220436.2,22.052,10.549,3.443,6.119,4.033,13.059,4.108,10.111,2.017,75.854,19.098
ENSMUST00000218552.2,85.66,0.0,131.645,149.635,140.411,3.552,83.591,35.285,229.981,44.334,86.225
ENSMUST00000195454.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000244581.1,221.117,0.0,277.851,45.876,0.0,0.0,256.098,177.878,0.0,0.0,0.0
ENSMUST00000141786.2,147.307,0.0,130.3,120.461,0.0,0.0,189.735,100.868,37.7,24.581,0.0
ENSMUST00000192839.2,4.0,0.0,16.0,11.0,23.0,5.0,3.0,7.0,19.0,0.0,0.0
ENSMUST00000202299.4,668.593,475.957,817.461,481.412,191.71,296.338,572.565,656.627,159.632,299.337,151.531
ENSMUST00000154371.2,4304.67,160.545,0.0,4733.916,1328.853,1082.693,2193.773,0.0,2185.195,3218.545,52.389
ENSMUST00000190986.2,2.073,0.0,4.162,0.0,4.994,0.0,11.673,4.18,2.079,0.0,0.0
ENSMUST00000007949.4,65.0,31.0,56.0,111.0,44.0,35.0,36.0,20.0,13.0,28.0,30.0
ENSMUST00000103271.2,409.0,90.0,659.0,501.0,286.0,121.0,374.0,189.0,329.0,61.0,209.0
ENSMUST00000038693.8,28.0,4.0,5.0,65.0,35.0,0.0,19.0,0.0,4.0,0.0,1.0
ENSMUST00000208033.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000133699.2,23.824,16.101,10.746,19.241,21.447,25.812,12.944,16.498,3.444,25.448,11.67
ENSMUST00000237923.2,0.0,0.0,0.0,0.0,2.552,0.0,0.0,3.422,0.0,0.0,11.908
ENSMUST00020182888.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000178523.2,0.0,0.0,0.0,0.0,0.0,0.0,14.057,0.0,0.0,0.0,0.0
ENSMUST00000103596.3,0.0,0.0,14.947,12.774,4.359,0.0,0.0,0.0,14.915,3.0,0.0
ENSMUST00000106848.8,8.723,0.0,14.044,4.978,28.645,12.073,4.338,1.339,15.759,0.0,9.549
ENSMUST00000133295.8,0.0,2.316,0.0,2.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
